genotypes	doi	status	trial	blumeria_graminis	heading_date	lodging	plant_height	puccinia_hordei	pyrenophora_teres	ramularia_collo_cygni	rhynchosporium
HOR 16953	10.25642/IPK/GBIS/253759	PGR	spring	4.557154459	72.49313335	2.929538509	87.19512563	3.362645237	2.069841578	4.107966245	1.346448141
HOR 16958	10.25642/IPK/GBIS/253760	PGR	winter	4.11805602	135.8769162	1.975639885	112.1755482	4.359883824	1.999995241	3.612838272	1.433977626
HOR 17024	10.25642/IPK/GBIS/245920	PGR	spring	3.233179976	75.15278351	4.656969351	91.48452389	4.313143032	1.744410568	2.736106536	1.344640469
HOR 1703	10.25642/IPK/GBIS/17842	PGR	spring	3.142372722	70.35854659	5.020231095	91.66918297	2.521830956	2.060019761	4.837276781	1.308160209
HOR 17035	10.25642/IPK/GBIS/245919	PGR	spring	3.234102553	72.10827256	5.114981399	101.2045466	4.672090341	2.046072624	4.238231441	1.373389813
HOR 1704	10.25642/IPK/GBIS/17843	PGR	spring	4.449691489	70.95737641	5.650842925	83.7734547	5.510220644	1.738022563	3.824216105	1.346448141
HOR 17077	10.25642/IPK/GBIS/258809	PGR	spring	3.867291291	68.69884136	3.061165849	82.11459949	4.992737536	1.415264864	4.560709146	1.344003723
HOR 17078	10.25642/IPK/GBIS/261755	PGR	spring	2.79413729	73.29227928	3.816660847	101.8103868	5.571061885	2.082651019	3.519437238	1.343775605
HOR 17116	10.25642/IPK/GBIS/245929	PGR	winter	3.827531616	137.0656528	4.465176718	128.5293717	4.267503833	1.500002449	3.720366044	1.27541261
HOR 17121	10.25642/IPK/GBIS/229470	PGR	spring	4.40435114	70.50191917	1.76315568	82.13611393	4.839797396	1.629751762	4.478654864	1.345221174
HOR 17134	10.25642/IPK/GBIS/253781	PGR	winter	2.919077938	136.9844925	1.649528363	112.6047348	5.310756612	1.499999044	3.268945899	1.415478246
HOR 17169	10.25642/IPK/GBIS/245579	PGR	winter	3.361623953	127.2012288	6.533970428	96.48112943	7.063812889	1.560821998	3.509920814	5.588214198
HOR 17185	10.25642/IPK/GBIS/240708	PGR	winter	3.854420187	136.0725267	1.626141594	123.8850126	5.48973374	1.500000669	2.902518827	1.942480502
HOR 17203	10.25642/IPK/GBIS/229685	PGR	spring	3.271024069	75.51062035	4.461376421	98.20337607	3.586721187	1.738986004	2.527374749	1.352646083
HOR 17215	10.25642/IPK/GBIS/226002	PGR	winter	5.007677852	136.0865759	3.23236706	118.3442201	5.461725521	1.500004753	2.758478011	2.368922315
HOR 17252	10.25642/IPK/GBIS/235454	PGR	winter	3.059464217	137.9369893	3.635696551	128.7420327	4.562018473	1.49999817	3.298315347	0.937511542
HOR 17258	10.25642/IPK/GBIS/226152	PGR	winter	4.323858621	137.274842	7.046709444	101.0732787	7.459779078	1.499998677	3.24430407	2.657482196
HOR 17321	10.25642/IPK/GBIS/231413	PGR	spring	4.201435819	76.01535063	3.897087598	96.89248171	4.094695229	2.765022086	4.253695514	1.342528747
HOR 17325	10.25642/IPK/GBIS/234609	PGR	winter	4.408261382	132.7043471	3.2595745	125.0581682	4.127580151	1.500004183	2.052194097	2.002859784
HOR 17329	10.25642/IPK/GBIS/245637	PGR	winter	3.847954647	137.2478415	5.275306215	113.6957067	3.642940767	1.499994081	3.936873726	2.433977617
HOR 1734	10.25642/IPK/GBIS/17873	PGR	spring	4.80463112	74.96161981	4.227437727	109.6950841	2.948983953	2.016225978	2.450242583	1.323413606
HOR 17386	10.25642/IPK/GBIS/231286	PGR	spring	3.532907492	65.95291119	3.739869741	86.51905437	5.739080027	1.733007695	4.959045319	1.308576545
HOR 17422	10.25642/IPK/GBIS/244315	PGR	spring	3.631286016	71.47202269	3.05781295	84.44738245	4.525223178	1.741636337	2.97119362	1.358698169
HOR 17440	10.25642/IPK/GBIS/256796	PGR	winter	4.86168591	137.2427613	4.770455151	96.73207526	4.862029809	1.499997879	4.984592729	3.668123866
HOR 17444	10.25642/IPK/GBIS/240305	PGR	spring	2.477673493	75.88829881	2.123951455	94.59613288	3.430325804	1.746252083	2.702798303	1.398877693
HOR 17477	10.25642/IPK/GBIS/234613	PGR	winter	2.958379991	132.7352285	3.101062896	113.6029867	5.249207065	1.499998651	3.840652164	1.795364238
HOR 17517	10.25642/IPK/GBIS/235515	PGR	spring	4.13546807	68.99770678	4.668373287	104.6365623	4.825098332	1.396438843	3.420231336	1.349505539
HOR 17531	10.25642/IPK/GBIS/254505	PGR	winter	3.890829373	132.3494267	5.448852153	121.5157387	5.217444844	1.49999717	3.818425112	3.544284971
HOR 17538	10.25642/IPK/GBIS/229506	PGR	winter	4.556828462	138.4349052	2.268932395	113.1422743	4.849444904	1.49999436	3.532386837	1.593738644
HOR 17544	10.25642/IPK/GBIS/226406	PGR	winter	3.661268719	137.8602773	3.292886999	114.9461614	5.160133421	1.500001879	3.216726866	2.05081083
